platform_id,video_id,watch_count,total_time_watched,price_per_watch
24,693,174399,6801561,0.41
123,1380,521601,13040025,0.48
33,129,210571,8001698,0.41
94,800,500213,4501917,0.25
90,183,108758,2610192,0.14
85,462,375029,6750522,0.5
161,1833,1499,17988,0.16
85,340,401660,7229880,0.15
159,1081,1514,71158,0.26
79,827,981685,19633700,0.13
5,1644,460445,13813350,0.35
118,873,814082,7326738,0.49
142,1687,433024,12990720,0.32
71,1607,509841,10196820,0.46
116,847,566072,14151800,0.23
160,1692,2002,58058,0.41
114,1927,797512,23127848,0.48
160,356,2005,56140,0.16
161,362,1500,36000,0.26
134,1128,818996,11465944,0.48
110,737,575866,17275980,0.42
12,1408,876659,8766590,0.24
160,1304,2007,36126,0.13
141,79,410824,17665432,0.32
88,786,672883,16822075,0.38
161,1806,1501,49533,0.2
1,1028,876581,14025296,0.36
72,1200,936036,53354052,0.49
41,1329,71138,3912590,0.19
159,186,1512,34776,0.1
117,495,36771,1434069,0.15
133,433,920259,41411655,0.12
159,285,1509,72432,0.49
160,691,2004,80160,0.15
160,161,1995,37905,0.22
55,249,629273,8180549,0.19
161,627,1494,16434,0.38
71,1907,454785,4093065,0.47
33,1717,580051,29002550,0.13
155,448,97923,4896150,0.31
161,681,1501,37525,0.33
69,314,950387,36114706,0.27
127,1090,610415,3662490,0.22
99,1879,59841,2752686,0.42
34,500,378491,14382658,0.14
160,1670,2000,114000,0.32
83,1958,912768,33772416,0.32
158,297,1494,58266,0.24
100,1033,738471,39138963,0.5
161,1604,1505,12040,0.36
129,1669,352568,18686104,0.4
159,614,1514,10598,0.34
160,1018,2000,90000,0.38
160,978,2000,58000,0.35
62,586,64401,3026847,0.18
158,1690,1500,15000,0.24
118,158,867607,10411284,0.16
105,1091,929423,10223653,0.5
160,1755,2003,90135,0.26
92,1558,28499,227992,0.18
162,1803,1504,40608,0.2
159,1193,1508,63336,0.21
162,429,1504,9024,0.11
80,147,432149,6482235,0.1
22,1790,496874,18384338,0.13
160,871,2001,108054,0.46
44,1383,353373,9894444,0.23
81,114,960374,57622440,0.42
160,246,2002,38038,0.26
109,834,118486,3080636,0.19
161,555,1499,16489,0.2
34,1517,870956,26999636,0.28
95,422,414773,5392049,0.24
158,991,1500,70500,0.2
159,1965,1507,51238,0.11
145,34,573651,9178416,0.38
18,1253,810298,5672086,0.19
133,1334,8954,161172,0.45
142,344,109020,3161580,0.4
162,1654,1499,62958,0.14
162,79,1492,64156,0.29
115,857,935581,29003011,0.14
19,180,9907,118884,0.41
158,26,1497,64371,0.39
145,1384,44224,1282496,0.15
105,640,516935,13957245,0.12
162,903,1502,82610,0.23
63,528,538292,12919008,0.37
132,1940,874972,30624020,0.19
132,1467,718153,20826437,0.36
161,1349,1501,63042,0.11
159,815,1511,19643,0.34
159,1344,1506,42168,0.4
124,1326,552292,26510016,0.17
127,908,852845,30702420,0.11
66,301,779101,37396848,0.34
61,1239,471523,2357615,0.37
15,731,67290,3499080,0.21
159,534,1513,65059,0.41
162,1421,1499,14990,0.38
161,1691,1496,71808,0.1
73,541,689618,41377080,0.14
96,46,534227,21369080,0.25
69,515,606139,16365753,0.29
158,199,1500,9000,0.45
92,1403,35788,644184,0.34
117,1617,465748,12109448,0.4
30,1773,869993,50459594,0.28
48,978,842817,24441693,0.19
23,1489,133606,6813906,0.48
13,703,696993,5575944,0.27
162,641,1503,39078,0.25
160,672,2000,60000,0.16
158,1132,1494,16434,0.31
47,1409,894838,15212246,0.29
150,1782,23512,1152088,0.16
108,448,322293,16114650,0.15
40,1564,434695,21300055,0.21
162,118,1503,39078,0.21
5,531,45973,1241271,0.29
159,1862,1507,36168,0.21
142,902,279730,2237840,0.13
152,1786,939799,11277588,0.36
158,299,1505,63210,0.36
104,1004,587863,18811616,0.38
162,1223,1494,38844,0.12
58,91,69113,691130,0.48
161,1138,1499,55463,0.28
158,4,1504,30080,0.45
145,383,940236,15043776,0.12
95,1286,480623,9131837,0.14
116,703,931602,7452816,0.41
33,650,623154,9970464,0.26
161,20,1500,64500,0.16
159,1383,1519,42532,0.29
61,257,334614,6357666,0.44
16,1441,581835,15127710,0.44
158,149,1500,57000,0.37
120,1126,105959,1483426,0.48
45,1296,926130,25005510,0.24
161,1574,1502,90120,0.32
158,1328,1499,16489,0.32
57,679,826423,33056920,0.1
6,38,857609,24013052,0.22
84,245,794060,38908940,0.36
158,1141,1504,10528,0.12
161,1115,1497,35928,0.39
64,110,86212,4396812,0.31
42,1210,69589,4105751,0.29
160,343,1997,25961,0.2
32,129,344398,13087124,0.44
16,525,865362,37210566,0.18
76,1281,660362,18490136,0.25
61,1594,225336,11942808,0.19
99,1243,435264,21327936,0.46
83,1957,520359,23936514,0.23
116,1804,271070,3523910,0.11
161,874,1503,22545,0.42
125,1906,811935,31665465,0.41
129,1677,756234,37811700,0.15
24,246,345008,6555152,0.1
26,263,631331,33460543,0.2
91,1301,521739,20869560,0.22
114,462,295832,5324976,0.42
36,66,853777,46103958,0.15
161,105,1506,34638,0.25
159,1038,1513,21182,0.16
29,1985,892017,35680680,0.43
42,751,688433,30979485,0.39
115,717,247784,5451248,0.43
8,262,185348,4819048,0.33
17,1205,249198,4236366,0.17
141,337,620516,8066708,0.31
158,1553,1503,64629,0.22
136,1831,623302,16205852,0.32
96,689,350374,5255610,0.42
38,1938,223990,7391670,0.43
26,1914,672608,32957792,0.46
81,1894,206297,1031485,0.26
97,959,608531,15821806,0.14
20,840,590174,11213306,0.34
25,89,919621,23910146,0.44
127,1502,771601,3858005,0.39
162,1680,1497,76347,0.45
160,86,1996,101796,0.2
41,469,457764,5493168,0.14
88,1296,14816,400032,0.18
117,888,494871,11382033,0.2
161,348,1500,7500,0.28
26,564,941401,25417827,0.26
4,155,47128,1649480,0.26
158,936,1490,77480,0.44
120,1166,879220,22859720,0.14
75,1774,598302,4188114,0.22
13,185,844599,31250163,0.43
56,402,554030,19945080,0.45
65,899,964436,32790824,0.44
162,491,1497,85329,0.31
65,1119,724827,39140658,0.46
156,1993,812847,21134022,0.15
118,1143,353603,8486472,0.2
25,163,595521,28585008,0.34
81,1808,748305,43401690,0.48
15,1990,622660,4358620,0.18
1,295,532376,14906528,0.36
160,1513,2000,94000,0.3
162,1819,1504,21056,0.11
161,336,1502,55574,0.49
161,847,1501,37525,0.21
154,1397,953135,40984805,0.23
127,1019,811333,4056665,0.3
159,764,1515,28785,0.17
136,272,866378,22525828,0.18
82,214,659279,3296395,0.48
125,1670,579913,33055041,0.13
152,1644,114348,3430440,0.36
158,508,1500,60000,0.39
85,1696,359711,7913642,0.31
139,812,616930,25294130,0.13
162,1767,1500,90000,0.29
160,1692,1999,57971,0.28
62,43,360569,8653656,0.5
31,1654,922573,38748066,0.36
8,1529,95607,5353992,0.23
64,140,349042,10820302,0.15
100,1666,102274,6034166,0.5
106,454,418604,14232536,0.37
27,1234,498446,27414530,0.37
100,1778,948898,27518042,0.41
14,1688,337851,3378510,0.41
84,236,435818,4793998,0.31
160,871,1997,107838,0.36
74,492,760486,43347702,0.31
77,1142,208703,5426278,0.39
106,189,249347,12966044,0.48
155,933,240787,1926296,0.46
52,498,412878,3715902,0.46
156,1527,849449,10193388,0.39
122,1197,547187,15868423,0.25
102,1334,800842,14415156,0.2
161,1920,1503,19539,0.17
161,556,1499,50966,0.11
61,1117,812766,40638300,0.45
160,1959,2000,94000,0.45
57,538,995338,38818182,0.27
130,1256,85910,2319570,0.18
153,1840,360263,10447627,0.44
162,896,1504,24064,0.4
161,1000,1500,40500,0.1
92,270,27888,557760,0.47
158,1381,1505,82775,0.4
11,534,910357,39145351,0.23
158,22,1500,84000,0.17
161,1431,1505,66220,0.23
28,881,351592,11602536,0.23
149,28,703651,23220483,0.35
154,207,58044,870660,0.24
84,206,788408,11826120,0.45
160,1103,2000,56000,0.39
100,1073,689629,4827403,0.49
113,720,302834,4845344,0.3
137,1888,588498,34132884,0.46
158,921,1502,90120,0.41
158,1755,1496,67320,0.13
123,344,147778,4285562,0.23
59,1790,826710,30588270,0.11
9,374,765669,22970070,0.42
117,974,121870,974960,0.2
161,1464,1502,52570,0.27
123,1508,407094,4070940,0.36
27,1423,658318,19091222,0.21
107,1639,350673,15429612,0.4
158,170,1500,22500,0.32
159,257,1511,28709,0.16
160,1143,1992,47808,0.38
132,438,731393,11702288,0.17
92,852,149089,5367204,0.49
160,1925,1996,31936,0.21
159,927,1511,77061,0.32
8,27,700191,15404202,0.44
32,1014,424966,17848572,0.26
162,1350,1495,8970,0.11
64,1600,33416,1503720,0.15
160,1876,2002,96096,0.19
159,1818,1509,76959,0.27
56,768,117430,6223790,0.16
158,245,1505,73745,0.43
161,711,1499,77948,0.15
30,1190,695334,18774018,0.38
78,1707,209124,2300364,0.41
13,1257,801156,22432368,0.42
159,425,1511,49863,0.28
22,1107,484018,22264828,0.31
101,764,885343,16821517,0.32
161,1642,1499,85443,0.16
159,1295,1505,85785,0.25
158,797,1498,22470,0.17
160,747,2004,120240,0.48
104,204,878841,40426686,0.42
1,1134,648366,13615686,0.27
158,1409,1502,25534,0.22
30,1828,145864,7876656,0.24
160,465,2001,68034,0.12
7,229,370659,9266475,0.44
39,1885,119544,6933552,0.42
151,819,895589,40301505,0.44
157,323,737454,29498160,0.25
94,1750,565529,5089761,0.14
5,253,236499,11588451,0.27
158,731,1504,78208,0.32
160,522,2003,18027,0.11
158,1864,1503,69138,0.24
36,1717,33686,1684300,0.41
131,649,850002,29750070,0.32
130,1786,97058,1164696,0.35
25,1600,611632,27523440,0.16
98,1394,227502,6370056,0.2
162,1960,1502,21028,0.18
26,1257,31049,869372,0.44
58,1338,479406,20135052,0.2
158,1573,1502,90120,0.36
161,14,1499,49467,0.42
128,71,198557,5162482,0.33
93,19,764952,6119616,0.46
162,1425,1500,43500,0.17
159,1523,1512,90720,0.29
158,1187,1503,19539,0.16
110,181,292577,11117926,0.18
147,1827,440869,13666939,0.28
36,1845,896203,45706353,0.12
162,1841,1500,16500,0.17
131,1868,878468,39531060,0.34
146,259,552678,12158916,0.35
81,15,348701,9414927,0.15
72,1668,808730,33966660,0.19
25,444,984810,41362020,0.27
39,853,222021,2886273,0.37
158,1248,1496,64328,0.21
134,1165,931796,24226696,0.14
18,267,747058,20170566,0.11
162,901,1501,34523,0.1
109,1138,983794,36400378,0.2
24,1173,315539,4733085,0.36
161,754,1497,38922,0.46
158,791,1498,71904,0.39
161,52,1503,45090,0.46
69,1417,227256,13180848,0.44
159,1571,1509,67905,0.19
24,1275,647109,29119905,0.33
86,837,937427,53433339,0.13
161,514,1498,46438,0.14
148,892,690901,17272525,0.24
76,1002,599699,3598194,0.12
160,1168,1998,115884,0.48
110,301,257963,12382224,0.13
58,296,170280,9705960,0.46
19,1718,468651,2811906,0.5
28,522,505044,4545396,0.41
160,1691,1999,95952,0.49
39,1537,826531,13224496,0.29
8,1336,823613,12354195,0.11
32,390,197054,1182324,0.37
69,689,370071,5551065,0.17
67,1009,193298,10824688,0.24
49,140,446238,13833378,0.34
6,1419,147099,3530376,0.28
106,1395,86210,2500090,0.21
33,193,932640,24248640,0.3
32,739,196666,2949990,0.43
44,96,405642,12980544,0.36
28,528,678220,16277280,0.44
160,678,1996,51896,0.23
162,1880,1500,43500,0.18
29,846,23076,1038420,0.4
159,1816,1507,72336,0.13
62,423,355577,21334620,0.49
153,1226,149472,8071488,0.39
64,528,223828,5371872,0.16
42,153,265010,12190460,0.44
162,1277,1500,34500,0.2
161,1204,1505,9030,0.17
48,1566,29900,448500,0.32
75,1399,503816,12091584,0.42
115,641,452870,11774620,0.13
89,40,814355,31759845,0.19
136,1994,851376,13622016,0.26
88,1568,363893,3638930,0.3
129,612,324949,5524133,0.18
80,1571,821286,36957870,0.18
81,1491,208529,5630283,0.45
90,702,49411,1482330,0.21
161,120,1500,7500,0.25
117,557,905963,24461001,0.27
159,1256,1506,40662,0.28
28,79,965659,41523337,0.26
158,1521,1494,19422,0.12
161,921,1504,90240,0.25
98,1820,608468,15211700,0.4
90,845,111128,2778200,0.23
19,1032,733075,25657625,0.41
15,1685,974599,21441178,0.31
90,188,145267,6682282,0.25
77,648,397001,17071043,0.29
128,1273,784559,19613975,0.16
162,1818,1504,76704,0.1
158,1650,1495,26910,0.21
162,1414,1500,43500,0.26
6,1826,520435,6765655,0.43
131,566,372337,2978696,0.35
162,907,1499,44970,0.38
119,276,118176,5081568,0.32
158,238,1498,55426,0.42
108,272,501208,13031408,0.22
100,550,864003,33696117,0.21
44,1405,28485,826065,0.48
23,1101,286530,16618740,0.32
83,1517,956338,29646478,0.48
159,771,1516,27288,0.44
146,688,32924,954796,0.18
154,1620,302714,2421712,0.34
17,1290,698534,35625234,0.27
162,1851,1498,26964,0.37
144,788,749698,22490940,0.5
161,1160,1504,60160,0.22
110,1469,381079,8002659,0.25
124,1931,200193,9008685,0.37
159,868,1509,46779,0.35
159,1652,1505,37625,0.41
92,1155,792530,26153490,0.13
34,761,978642,25444692,0.12
89,829,487360,16570240,0.38
46,1788,229608,7806672,0.32
10,1428,280204,7005100,0.32
25,709,881994,34397766,0.28
132,923,599913,8998695,0.12
162,322,1498,64414,0.13
154,1192,936216,19660536,0.1
17,596,128407,1540884,0.17
158,498,1500,13500,0.49
32,1521,453198,5891574,0.15
88,1002,625722,3754332,0.36
24,1824,74905,1048670,0.41
60,223,683432,33488168,0.15
5,574,339448,14935712,0.27
162,1426,1497,10479,0.35
153,1279,594559,11891180,0.49
101,1735,726615,4359690,0.12
30,409,284067,1704402,0.17
119,654,436968,19663560,0.15
61,520,113262,2718288,0.43
158,1489,1501,76551,0.2
159,80,1512,31752,0.29
14,1792,324240,16536240,0.24
105,1521,752793,9786309,0.15
159,916,1506,58734,0.44
146,1067,804386,41023686,0.25
46,1152,272750,13637500,0.12
160,1356,1997,99850,0.49
162,89,1498,38948,0.35
160,1674,2000,32000,0.16
161,12,1502,37550,0.29
43,1477,626335,32569420,0.32
159,1655,1503,60120,0.15
161,1901,1499,67455,0.12
159,1326,1509,72432,0.14
93,642,209987,6929571,0.15
159,422,1505,19565,0.4
22,199,800492,4802952,0.27
84,1586,63364,697004,0.26
158,1399,1503,36072,0.25
81,667,759592,12153472,0.31
149,1043,490109,12252725,0.22
0,1833,843835,10126020,0.15
46,518,78571,1492849,0.13
137,848,837357,20933925,0.14
37,1917,632096,23387552,0.49
94,159,607664,16406928,0.12
92,110,936905,47782155,0.48
104,495,402415,15694185,0.15
19,1272,83107,2077675,0.16
159,212,1513,51442,0.21
26,1519,287498,6612454,0.33
159,1369,1511,60440,0.49
22,497,340063,8161512,0.31
104,223,607892,29786708,0.49
64,727,316875,4753125,0.11
13,1537,175005,2800080,0.33
143,680,9736,165512,0.39
153,1060,361053,6860007,0.34
93,1221,803485,15266215,0.26
158,219,1502,78104,0.16
60,1152,699488,34974400,0.15
161,1848,1495,40365,0.44
160,1906,1995,77805,0.25
159,1431,1514,66616,0.15
158,1749,1497,25449,0.26
162,1635,1499,62958,0.39
2,1705,765614,31390174,0.37
158,338,1503,81162,0.44
141,1132,776823,8545053,0.47
55,763,251501,2515010,0.44
158,348,1501,7505,0.47
131,1397,951962,40934366,0.11
28,827,195094,3901880,0.46
117,1413,64337,3088176,0.16
11,696,335921,7726183,0.29
161,766,1503,40581,0.44
162,1236,1496,52360,0.25
103,856,823489,32939560,0.23
105,891,155455,4197285,0.23
12,1933,419339,25160340,0.37
52,1158,919051,21138173,0.48
121,816,624256,4994048,0.22
79,212,980786,33346724,0.39
49,1651,989598,57396684,0.16
158,164,1500,73500,0.23
9,1825,903685,16266330,0.47
73,967,797979,24737349,0.39
43,1990,986572,6906004,0.33
9,964,410314,22977584,0.25
153,920,823698,23887242,0.13
161,125,1504,13536,0.14
124,1497,672601,37665656,0.28
159,761,1512,39312,0.26
162,314,1502,57076,0.34
79,105,160745,3697135,0.17
162,1453,1504,87232,0.44
89,252,91275,1734225,0.43
119,1599,890452,6233164,0.31
68,1269,248113,2977356,0.43
123,155,398625,13951875,0.48
160,104,2002,46046,0.37
158,248,1494,50796,0.13
19,1329,550452,30274860,0.14
158,1720,1498,65912,0.14
159,121,1514,37850,0.17
121,1249,139220,2923620,0.19
138,82,687153,17178825,0.36
159,1416,1510,67950,0.43
158,456,1503,39078,0.26
45,1877,82432,4945920,0.22
11,882,615673,10466441,0.11
46,605,338453,15568838,0.4
128,1432,42179,1602802,0.32
129,150,712120,17803000,0.31
16,782,934948,26178544,0.11
90,1523,251934,15116040,0.17
59,1237,209297,3976643,0.4
156,1018,296611,13347495,0.14
159,1851,1508,27144,0.35
24,1325,390809,6252944,0.13
125,1824,16408,229712,0.32
46,1982,691825,12452850,0.47
161,1096,1502,90120,0.23
55,1721,459394,3675152,0.22
30,1444,942489,49009428,0.27
159,208,1506,39156,0.17
67,961,593292,16612176,0.43
12,860,370983,21146031,0.17
162,314,1500,57000,0.16
134,1198,942790,49025080,0.28
106,19,536397,4291176,0.49
158,1138,1499,55463,0.24
161,1707,1506,16566,0.16
162,1962,1499,43471,0.14
160,1875,1999,41979,0.19
76,718,586842,14084208,0.22
159,1407,1510,18120,0.49
131,1269,337877,4054524,0.38
160,528,1995,47880,0.17
44,1943,925829,6480803,0.4
107,1323,95019,2280456,0.3
122,914,179510,10232070,0.37
17,465,907486,30854524,0.26
90,670,648428,15562272,0.46
11,1099,953470,18115930,0.39
158,716,1502,42056,0.2
137,1385,245140,12257000,0.48
15,1270,451150,12632200,0.43
161,179,1502,9012,0.17
60,67,984420,29532600,0.29
9,339,320673,10582209,0.26
158,1543,1508,51272,0.11
85,830,293182,5570458,0.31
79,1040,81261,3819267,0.13
11,24,924872,26821288,0.11
158,1750,1501,13509,0.2
162,459,1501,81054,0.46
133,1156,653297,20905504,0.15
158,853,1497,19461,0.42
65,1297,952866,20010186,0.27
58,536,355354,12082036,0.39
140,1552,898868,49437740,0.19
138,1488,187543,3750860,0.27
46,1553,187951,8081893,0.46
93,919,30245,1572740,0.43
56,370,114711,5391417,0.49
159,1105,1509,42252,0.16
14,476,412667,6602672,0.19
63,216,588733,7064796,0.2
161,755,1505,28595,0.12
92,1673,244106,9764240,0.29
92,1064,618645,21033930,0.18
162,1112,1496,35904,0.33
85,917,166715,3501015,0.43
1,1008,417759,12115011,0.27
6,1328,344193,3786123,0.25
33,692,22181,998145,0.44
22,1473,898365,52105170,0.49
160,223,2000,98000,0.15
85,1932,205872,10911216,0.1
158,534,1498,64414,0.15
138,113,805346,14496228,0.15
159,603,1508,42224,0.22
158,1431,1495,65780,0.48
110,1157,413299,19011754,0.27
64,1850,361976,5429640,0.38
69,325,652446,6524460,0.48
37,1502,444257,2221285,0.13
133,1832,360587,5048218,0.17
17,57,149224,1343016,0.41
115,720,46445,743120,0.36
13,629,583432,2917160,0.25
158,289,1496,8976,0.47
129,1819,317366,4443124,0.33
39,791,926714,44482272,0.26
68,378,209283,3767094,0.28
119,1316,89965,2608985,0.15
73,1976,888898,16000164,0.15
160,1807,1997,73889,0.12
156,1952,499597,12489925,0.16
21,1455,444889,10677336,0.49
71,340,846929,15244722,0.27
161,352,1501,40527,0.18
160,765,1997,119820,0.37
158,1727,1501,66044,0.44
2,1931,468742,21093390,0.28
162,455,1499,64457,0.35
75,1946,442261,14594613,0.12
146,1407,451724,5420688,0.38
156,202,318576,12743040,0.43
160,187,1994,15952,0.27
32,1437,439752,23306856,0.48
149,84,241711,7251330,0.47
153,183,164406,3945744,0.34
160,1055,2000,28000,0.14
160,1195,2001,74037,0.31
159,1256,1511,40797,0.15
160,1836,2000,46000,0.31
22,375,106426,1809242,0.25
139,1899,866971,33811869,0.39
159,1545,1506,7530,0.38
161,1745,1502,46562,0.24
42,1855,842860,21914360,0.32
124,838,938927,56335620,0.19
98,228,415760,3326080,0.22
12,1683,545529,2727645,0.18
151,1578,740686,17776464,0.23
134,1370,517921,11912183,0.46
161,1691,1501,72048,0.25
160,1069,2010,12060,0.31
28,507,741757,8901084,0.48
161,1858,1503,9018,0.31
147,904,203839,12026501,0.45
100,1750,139350,1254150,0.28
30,1728,672570,22194810,0.33
153,669,772189,34748505,0.27
159,1026,1508,28652,0.19
162,899,1499,50966,0.45
23,1409,62216,1057672,0.37
73,843,678350,18993800,0.47
89,318,5174,119002,0.49
63,163,853252,40956096,0.12
64,1352,479867,14396010,0.35
57,782,513593,14380604,0.39
103,854,654554,7200094,0.33
133,859,370162,5552430,0.31
130,1656,958184,55574672,0.22
161,1151,1502,85614,0.47
94,1986,318780,2869020,0.46
144,1476,660439,19152731,0.44
158,758,1502,12016,0.45
160,327,2002,72072,0.47
158,1876,1503,72144,0.21
148,798,323041,8722107,0.37
159,784,1518,18216,0.48
158,1997,1495,32890,0.11
96,613,979219,37210322,0.44
14,1761,174465,2616975,0.18
161,1612,1505,58695,0.16
159,734,1508,55796,0.11
145,460,492517,13297959,0.25
27,231,405317,21481801,0.28
16,1529,981743,54977608,0.25
162,860,1502,85614,0.23
21,843,37687,1055236,0.32
146,1188,447755,25074280,0.48
153,876,996076,26894052,0.31
